month,ave_time,ave_trip,location,year
1,130833909.66666667,160855.33333333334,DC,ave
2,162672802.33333334,183459,DC,ave
3,241487569,237022,DC,ave
4,392023487.3333333,330673.6666666667,DC,ave
5,371285390.6666667,334995.6666666667,DC,ave
6,407224473.6666667,362755,DC,ave
7,435409449.3333333,366181.3333333333,DC,ave
8,404148352,371141.3333333333,DC,ave
9,356249382,344925.6666666667,DC,ave
10,339026613,343499,DC,ave
11,194315281.33333334,226084.66666666666,DC,ave
12,130288874,162074.33333333334,DC,ave
1,148811473,192566,DC,2020
2,136700384,173494,DC,2020
3,151567901,151401,DC,2020
4,1856462,61527,DC,2020
5,3743872,119004,DC,2020
6,5487325,179557,DC,2020
